State,District,population,population_proper,Location,EnergySource,WaterConsumption,SGD %,AQI,AQI_Bucket,Waste Type,Disposal Method,Recycling Rate (%),Cost of Waste Management (₹/Ton)
Uttarakhand,Dehradun,4214086,3460514.196,Urban,Mixed,346107433.7,45,43,Severe,E-Waste,Recycling,88.20865596,
Kerala,Kozhikode,2358305,2027349.913,Suburban,Hydro,268609976.1,82.2,125,Moderate,Biodegradable,Landfill,19.14900684,
Andhra Pradesh,Vijayawada,2862951,1985690.995,Rural,Wind,25304538.53,94.2,52,Severe,Mixed,Recycling,57.5138412,
Karnataka,Hubballi,8337226,5833129.135,Suburban,Wind,133451419.1,43,243,Severe,Mixed,Incineration,10.77324274,
Delhi,New Delhi,8061575,4847645.738,Urban,Solar,319131258.5,86.6,43,Moderate,Mixed,Landfill,58.84768506,
Mizoram,Lunglei,8652092,7885043.034,Suburban,Solar,48099264.2,89.5,384,Satisfactory,E-Waste,Composting,51.63725047,
Ladakh,Kargil,6037242,4330588.715,Suburban,Wind,55642561.26,88.1,390,Good,Mixed,Composting,45.99756903,
Jammu and Kashmir,Jammu,7774903,6277648.249,Rural,Solar,173711887.4,77.9,252,Satisfactory,E-Waste,Landfill,19.06811721,
Andaman and Nicobar Islands,Port Blair,2201729,1729336.861,Rural,Mixed,203400725,75.3,368,Very Poor,Non-Biodegradable,Recycling,46.47151312,
Rajasthan,Jaipur,9153139,5753410.829,Suburban,Thermal,446979562.3,50.8,289,Good,Non-Biodegradable,Composting,17.55235721,
Rajasthan,Jodhpur,1375095,1129038.395,Urban,Wind,85123221.47,46.1,83,Very Poor,E-Waste,Composting,74.41121617,
Tamil Nadu,Coimbatore,9149945,7063892.246,Urban,Hydro,271255087,62.1,385,Good,Non-Biodegradable,Recycling,44.83559701,
Goa,South Goa,2667095,2212393.722,Urban,Solar,229875465.1,78.2,394,Satisfactory,Non-Biodegradable,Composting,24.49078671,
Sikkim,Gangtok,6662444,5794853.313,Urban,Mixed,456355268.4,48,164,Severe,Biodegradable,Composting,15.62748898,
Haryana,Panipat,3692632,2240512.419,Urban,Solar,488384895.3,55.9,294,Good,Non-Biodegradable,Incineration,67.14563353,
Puducherry,Puducherry,8398475,6251669.013,Urban,Wind,453661851.3,86.8,83,Good,E-Waste,Incineration,59.03034177,
Karnataka,Bengaluru,4597975,3917825.331,Rural,Thermal,243629428.8,74.9,299,Moderate,E-Waste,Recycling,16.01998249,
Telangana,Hyderabad,9323727,6676989.231,Urban,Solar,222167567.6,91.3,56,Good,Biodegradable,Recycling,10.38869877,
Rajasthan,Jodhpur,9066248,6463143.125,Suburban,Hydro,441236961.5,86.6,206,Good,Mixed,Composting,37.52653288,
Arunachal Pradesh,Ziro,2010820,1469288.245,Urban,Hydro,167836971.5,75.7,399,Satisfactory,Biodegradable,Composting,28.60115234,
Odisha,Rourkela,5521971,5212289.889,Rural,Solar,58669373.72,83.8,185,Severe,E-Waste,Recycling,26.9706667,
West Bengal,Howrah,218488,198359.9719,Rural,Wind,42362114,46.8,101,Poor,Biodegradable,Recycling,81.32307627,
Mizoram,Aizawl,2879043,1924625.069,Suburban,Solar,403920181.9,86.3,233,Satisfactory,Non-Biodegradable,Landfill,48.83221246,
Goa,South Goa,4946241,3553904.659,Suburban,Mixed,478296878.9,52.6,114,Severe,Mixed,Recycling,39.81703166,
Odisha,Bhubaneswar,6375426,4015396.818,Suburban,Solar,359346046,61.2,327,Moderate,E-Waste,Composting,38.87369488,
West Bengal,Howrah,5499182,4063905.055,Suburban,Hydro,50600759.7,85.1,354,Very Poor,Biodegradable,Composting,69.41350504,
Arunachal Pradesh,Tawang,7592544,6658719.1,Urban,Thermal,180255244.6,58.5,211,Severe,Mixed,Landfill,61.02793099,
Bihar,Gaya,2248583,2105756.963,Urban,Solar,65984666.11,54.3,279,Poor,Non-Biodegradable,Incineration,79.39970444,
Sikkim,Namchi,3499255,3112241.891,Urban,Solar,263043459.1,94.4,363,Moderate,Biodegradable,Landfill,56.64491306,
Uttar Pradesh,Kanpur,1474712,955372.4234,Suburban,Solar,146974875.7,93.7,385,Satisfactory,E-Waste,Landfill,74.73399783,
Dadra and Nagar Haveli and Daman and Diu,Silvassa,6891430,6152072.891,Urban,Solar,66165182.99,67.9,308,Poor,Non-Biodegradable,Landfill,48.06062924,
Madhya Pradesh,Bhopal,3082046,2821794.578,Suburban,Hydro,222223549.7,91.5,236,Good,E-Waste,Incineration,15.08403351,
Jammu and Kashmir,Jammu,1932835,1379995.006,Suburban,Wind,48080843.83,54.5,188,Good,Non-Biodegradable,Incineration,63.72360459,
Mizoram,Aizawl,6311673,5821617.57,Rural,Wind,363487337.4,41,227,Very Poor,Biodegradable,Incineration,34.52856819,
Dadra and Nagar Haveli and Daman and Diu,Daman,8492004,6488756.313,Urban,Wind,293792492.5,92.1,308,Poor,Biodegradable,Landfill,82.49640622,
Odisha,Bhubaneswar,3224606,2029431.363,Suburban,Thermal,367846177.6,65.3,340,Severe,E-Waste,Incineration,80.02090237,
Puducherry,Puducherry,4473928,2870022.348,Suburban,Hydro,473629550,70.4,299,Good,E-Waste,Landfill,84.47035077,
West Bengal,Darjeeling,8976161,8480870.566,Suburban,Thermal,63961780.03,72.9,262,Severe,Non-Biodegradable,Recycling,52.53360424,
Andhra Pradesh,Vijayawada,3761268,3022891.657,Rural,Wind,195980199.7,71,170,Very Poor,Mixed,Landfill,24.00766302,
Nagaland,Dimapur,6827640,5793683.511,Urban,Hydro,130833418.1,73.9,284,Good,Biodegradable,Incineration,27.01814241,
Ladakh,Leh,8493718,7862599.233,Suburban,Hydro,339882252.6,50.6,335,Satisfactory,Mixed,Composting,47.61780756,
Kerala,Kochi,1048343,980551.0565,Rural,Wind,1000087.05,43.8,262,Very Poor,Non-Biodegradable,Landfill,50.52940612,
Haryana,Faridabad,8971709,5703908.281,Urban,Hydro,466290266.9,74.4,187,Very Poor,Mixed,Landfill,10.60501698,
Telangana,Hyderabad,7212529,6072629.104,Rural,Solar,218819930.1,65.7,70,Poor,Mixed,Landfill,85.37927891,
Meghalaya,Tura,7532784,5415824.416,Urban,Solar,35184405.81,70,345,Poor,Non-Biodegradable,Landfill,79.2710629,
Bihar,Muzaffarpur,8509951,7814697.245,Rural,Solar,300927551.5,76.9,281,Severe,E-Waste,Composting,24.02514909,
Uttarakhand,Nainital,4247145,2784817.564,Rural,Mixed,67412321.79,57.5,212,Severe,Mixed,Landfill,42.50514801,
Himachal Pradesh,Kangra,5688803,4906667.234,Rural,Solar,463101983.9,49.7,265,Satisfactory,Non-Biodegradable,Incineration,44.00848501,
Meghalaya,Shillong,1689231,1439416.785,Rural,Solar,162471435.9,55.5,397,Very Poor,Biodegradable,Landfill,72.05938779,
Kerala,Thiruvananthapuram,6603413,4235786.46,Urban,Hydro,51228492.01,91.4,177,Poor,E-Waste,Landfill,21.19869395,
Delhi,New Delhi,5789214,4360288.262,Rural,Thermal,160566220.7,70.9,73,Moderate,Non-Biodegradable,Recycling,14.06170914,
Telangana,Warangal,3004208,2310610.807,Suburban,Hydro,58587870.51,46.7,387,Satisfactory,E-Waste,Incineration,46.02582378,
Maharashtra,Nagpur,3760086,2348820.566,Urban,Mixed,404291987.6,50.9,144,Moderate,Mixed,Incineration,35.72787418,
Tripura,Agartala,297195,253675.2918,Urban,Solar,336156545.7,89.7,120,Very Poor,Biodegradable,Incineration,87.34209094,
Lakshadweep,Kavaratti,1791246,1465330.9,Rural,Hydro,213164336.5,60.5,177,Moderate,Mixed,Composting,48.05122138,
Assam,Dibrugarh,3676780,3318039.661,Suburban,Solar,4699521.15,86.2,268,Moderate,E-Waste,Incineration,27.80983209,
Telangana,Hyderabad,6014974,4557131.736,Urban,Wind,81997591.27,75.6,261,Satisfactory,Biodegradable,Recycling,89.67299218,
Himachal Pradesh,Kangra,3316915,3044580.068,Suburban,Thermal,331749181.5,81,133,Poor,Non-Biodegradable,Recycling,82.45495812,
Uttar Pradesh,Kanpur,5759216,4012461.724,Urban,Wind,61733138.19,85.4,269,Moderate,Biodegradable,Recycling,14.0023766,
Punjab,Ludhiana,920949,653657.7173,Rural,Mixed,265392361.4,64.3,153,Good,Mixed,Incineration,57.79789189,
Jharkhand,Dhanbad,3199239,2203875.524,Suburban,Hydro,489615965.6,40.8,109,Very Poor,Biodegradable,Composting,84.02848027,
Odisha,Rourkela,9370124,7190854.58,Rural,Wind,484375064.3,57.6,311,Satisfactory,E-Waste,Landfill,40.7787845,
Assam,Dibrugarh,6426360,4327465.535,Urban,Mixed,427279953.6,73.2,188,Good,Mixed,Recycling,19.74602063,
Telangana,Warangal,6495761,4405966.401,Urban,Thermal,200289272.9,92.1,291,Satisfactory,Non-Biodegradable,Incineration,77.32240559,
Chhattisgarh,Durg,919045,662393.4976,Suburban,Hydro,415282747.6,64.9,40,Severe,Biodegradable,Recycling,72.20019707,
Assam,Silchar,6853750,5276069.698,Rural,Thermal,109158587.1,40.4,179,Good,Mixed,Composting,33.13792721,
Uttarakhand,Nainital,4872821,4046913.889,Rural,Solar,277706303,63.7,221,Poor,Non-Biodegradable,Landfill,11.90859667,
Meghalaya,Shillong,3953719,3296765.014,Suburban,Solar,456497754.3,61.4,119,Good,Non-Biodegradable,Incineration,83.4288267,
Manipur,Imphal,3740288,3222162.564,Urban,Solar,234474792.5,59.9,359,Moderate,Biodegradable,Landfill,51.24290475,
Puducherry,Puducherry,3005236,2204816.556,Rural,Thermal,485888052.8,73.6,198,Severe,E-Waste,Recycling,89.70570759,
Kerala,Kochi,9274839,6032917.641,Suburban,Solar,204900198.6,70.5,294,Severe,Biodegradable,Composting,53.86586383,
Uttar Pradesh,Varanasi,2378221,1965299.501,Rural,Mixed,457186111.7,67.8,225,Poor,Mixed,Incineration,63.67994839,
Lakshadweep,Kavaratti,7440595,4575162.866,Suburban,Solar,188412235.7,64.9,336,Very Poor,Non-Biodegradable,Incineration,76.76816008,
Tamil Nadu,Coimbatore,9025471,6985125.312,Suburban,Thermal,369350372.7,42.4,325,Severe,Non-Biodegradable,Recycling,11.05198186,
Delhi,New Delhi,222704,198855.6015,Urban,Solar,323042068.9,68.1,40,Satisfactory,Non-Biodegradable,Landfill,47.87610109,
Punjab,Patiala,7301702,6044066.213,Urban,Thermal,369699039.9,84.2,101,Moderate,Biodegradable,Incineration,62.72684945,
Kerala,Thiruvananthapuram,2591163,1616209.053,Suburban,Mixed,197398198,87.3,233,Severe,E-Waste,Recycling,73.93730633,
Tamil Nadu,Coimbatore,5013781,4484600.785,Rural,Wind,342294815.8,79,140,Moderate,Non-Biodegradable,Recycling,69.26534499,
Bihar,Patna,2028664,1729137.813,Urban,Solar,340867999.9,84.5,309,Poor,Biodegradable,Recycling,65.55411259,
Tamil Nadu,Coimbatore,2920106,2698216.332,Urban,Hydro,406537180.4,79.8,353,Moderate,Non-Biodegradable,Landfill,58.11448051,
Andhra Pradesh,Visakhapatnam,6616825,5258177.312,Urban,Hydro,1981462.4,73.5,72,Very Poor,Mixed,Incineration,54.89456769,
Tripura,Agartala,8832084,5537887.711,Rural,Hydro,237686656.9,81.3,303,Satisfactory,Non-Biodegradable,Incineration,58.86611563,
Arunachal Pradesh,Ziro,3793067,2895374.995,Urban,Hydro,217777657.5,56.7,236,Severe,Non-Biodegradable,Recycling,33.56806496,
Chandigarh,Chandigarh,4910356,4265578.173,Urban,Wind,191310363,42.4,235,Moderate,E-Waste,Composting,34.21016271,
Assam,Guwahati,8068621,7506084.567,Rural,Solar,373179265.5,73.1,347,Very Poor,Mixed,Composting,49.46801444,
Rajasthan,Udaipur,5524125,3558345.178,Suburban,Solar,481742577.5,45.2,168,Very Poor,E-Waste,Landfill,44.6404925,
Tripura,Udaipur,9490210,6467450.761,Suburban,Mixed,482863132.2,90.6,77,Severe,Mixed,Incineration,52.25902839,
Punjab,Amritsar,8576140,6836388.646,Urban,Solar,198936464.2,66.7,396,Severe,Non-Biodegradable,Landfill,13.8099972,
Sikkim,Gangtok,7146260,5602952.529,Urban,Thermal,499458543.8,87.7,324,Very Poor,Biodegradable,Recycling,54.64591311,
Rajasthan,Jodhpur,9641137,8422897.394,Rural,Solar,466703235.8,69.3,109,Severe,Non-Biodegradable,Composting,64.34792197,
Ladakh,Leh,6564618,4026498.533,Suburban,Wind,32754379.66,76.2,204,Good,E-Waste,Incineration,45.76295557,
Manipur,Churachandpur,7939883,6069685.037,Rural,Solar,250505935.2,58.9,286,Moderate,Mixed,Landfill,33.68826449,
Manipur,Imphal,485678,404246.1793,Suburban,Hydro,231383425.3,41.8,295,Severe,Biodegradable,Composting,32.64160161,
Tripura,Udaipur,1057013,709714.2255,Urban,Mixed,43698972.65,41.6,177,Good,Non-Biodegradable,Recycling,51.23073768,
Rajasthan,Jodhpur,5967632,3706336.255,Urban,Mixed,447939237.8,70.6,155,Very Poor,Mixed,Landfill,77.23969537,
Telangana,Warangal,6772491,4513484.186,Rural,Solar,85937086.88,83,262,Satisfactory,Non-Biodegradable,Landfill,12.33839209,
Chhattisgarh,Durg,4598809,3644084.69,Urban,Hydro,138052065.9,88.3,101,Severe,Mixed,Composting,70.3192252,
Goa,South Goa,9882687,9116165.384,Suburban,Wind,241582956.9,63.3,169,Good,Mixed,Landfill,11.36314768,
Tamil Nadu,Coimbatore,6159434,3764653.742,Urban,Wind,79574887.78,59.5,227,Poor,Non-Biodegradable,Composting,82.02936207,
Bihar,Patna,487471,405436.1275,Urban,Wind,8128028.91,82.6,323,Severe,Non-Biodegradable,Composting,63.55978328,
Uttarakhand,Haridwar,4323650,3872168.38,Suburban,Wind,2681461.64,73.4,113,Very Poor,Mixed,Incineration,48.26002602,
Nagaland,Kohima,4981401,4101978.427,Suburban,Solar,358101957.5,52.9,300,Poor,E-Waste,Landfill,41.70868339,
Rajasthan,Jaipur,7900913,7384463.925,Rural,Hydro,374974405.4,49.4,45,Good,Biodegradable,Incineration,19.55342505,
West Bengal,Darjeeling,9700052,7480686.153,Rural,Solar,162801593.5,61.6,238,Severe,Non-Biodegradable,Composting,22.45857927,
Puducherry,Puducherry,4829526,4180626.665,Suburban,Mixed,343007929.2,79.4,109,Severe,E-Waste,Recycling,76.56371547,
Sikkim,Gangtok,1137407,784025.8751,Urban,Wind,102178761.3,73.3,369,Good,Biodegradable,Incineration,53.3299597,
Tamil Nadu,Chennai,2044284,1571442.212,Rural,Thermal,206752468.8,54.4,273,Good,Non-Biodegradable,Landfill,37.48902459,
Assam,Guwahati,5660924,4250674.215,Urban,Solar,360670799,72.9,398,Very Poor,Mixed,Landfill,34.86844597,
Jharkhand,Ranchi,9555063,7275566.932,Suburban,Solar,60411787.8,63.7,303,Severe,Non-Biodegradable,Landfill,70.24858566,
Tripura,Agartala,7004234,6023246.589,Suburban,Solar,50055985.75,79.1,269,Poor,E-Waste,Recycling,39.31026838,
Haryana,Faridabad,9350040,5796200.644,Urban,Thermal,446425090.8,43.6,384,Satisfactory,Non-Biodegradable,Composting,63.89232163,
Karnataka,Bengaluru,8455868,6872106.347,Urban,Solar,358756992.4,72.1,299,Very Poor,Biodegradable,Composting,28.25178097,
Chhattisgarh,Raipur,2460727,1842215.135,Rural,Wind,338334499.4,66.3,46,Severe,Mixed,Landfill,33.89286079,
Andaman and Nicobar Islands,Port Blair,7725398,5749343.236,Urban,Thermal,164698676.6,52.5,284,Moderate,Non-Biodegradable,Composting,26.62092362,
Chhattisgarh,Durg,1779032,1200245.562,Urban,Solar,20581498.57,53.3,216,Moderate,Non-Biodegradable,Recycling,69.1786966,
Himachal Pradesh,Kangra,3613904,3307332.62,Rural,Solar,201787496.3,79.6,234,Very Poor,Non-Biodegradable,Composting,70.81621151,
Arunachal Pradesh,Itanagar,6583296,5053538.382,Urban,Hydro,211531853.1,73.2,196,Good,Non-Biodegradable,Landfill,15.98130359,
Andhra Pradesh,Vijayawada,2662662,2504833.622,Urban,Wind,44537258.2,70.7,328,Very Poor,Biodegradable,Composting,25.34939859,
Chandigarh,Chandigarh,2540313,1945380.68,Rural,Wind,365853277.8,47.9,267,Good,Mixed,Recycling,37.59813237,
Karnataka,Hubballi,4016087,3365242.085,Rural,Thermal,446687960.4,86,234,Poor,Non-Biodegradable,Landfill,53.55122473,
West Bengal,Howrah,733751,696884.3364,Suburban,Solar,7609152.64,58.6,156,Severe,Biodegradable,Landfill,54.85484871,
Kerala,Thiruvananthapuram,9202323,6021611.79,Suburban,Thermal,402144636.1,74.1,195,Severe,Non-Biodegradable,Recycling,35.01253839,
Uttar Pradesh,Kanpur,5844193,4818671.321,Suburban,Wind,377430213.4,91.4,291,Good,Non-Biodegradable,Recycling,36.57443776,
Madhya Pradesh,Indore,8807599,6503987.829,Rural,Wind,449746922.6,53.6,200,Poor,Non-Biodegradable,Composting,65.47013946,
Haryana,Panipat,5951968,4009544.069,Suburban,Mixed,112525549.6,44.1,180,Poor,Biodegradable,Landfill,50.64088783,
West Bengal,Howrah,8398996,5385639.65,Urban,Hydro,305157252.2,50.5,352,Poor,Mixed,Recycling,87.20728765,
Chandigarh,Chandigarh,4883020,3696456.863,Suburban,Wind,183054624.2,67.3,117,Severe,E-Waste,Incineration,19.78415736,
Himachal Pradesh,Kangra,4079974,2522293.146,Urban,Hydro,285820580.5,42.6,283,Moderate,Mixed,Incineration,58.21527845,
Delhi,New Delhi,3079720,1849748.047,Suburban,Wind,290692321.5,85.5,323,Satisfactory,Non-Biodegradable,Landfill,38.07932851,
Rajasthan,Udaipur,8056875,6596810.914,Suburban,Solar,314447310.6,49.9,159,Poor,Mixed,Incineration,46.07686522,
Lakshadweep,Kavaratti,6001962,3972774.02,Suburban,Wind,409531979.2,40.8,60,Moderate,Non-Biodegradable,Composting,55.32973656,
Delhi,New Delhi,5769714,5167299.21,Rural,Solar,92734180.68,88.8,93,Severe,Non-Biodegradable,Composting,45.6652794,
Tripura,Agartala,3181158,2699189.859,Suburban,Solar,202891010.6,86.1,246,Very Poor,Biodegradable,Recycling,11.57122288,
Kerala,Thiruvananthapuram,3216116,2089822.898,Suburban,Thermal,170955421.9,66.4,67,Moderate,Biodegradable,Landfill,84.58818358,
Andhra Pradesh,Visakhapatnam,82755,66301.86786,Rural,Thermal,11850993.71,92.5,253,Severe,Mixed,Landfill,86.73780485,
Sikkim,Gangtok,9133050,8381085.478,Urban,Solar,454826800.6,62.9,288,Satisfactory,Mixed,Recycling,60.00709613,
Andhra Pradesh,Guntur,7465255,6533906.472,Rural,Hydro,341827831.2,51.8,216,Severe,Biodegradable,Composting,50.05477616,
Andhra Pradesh,Visakhapatnam,2345433,1556907.377,Rural,Hydro,99767956.56,55.7,94,Moderate,Non-Biodegradable,Incineration,75.89009934,
Rajasthan,Udaipur,4294158,2959858.09,Urban,Hydro,454031612.4,48.8,98,Moderate,Non-Biodegradable,Recycling,79.75282223,
Manipur,Churachandpur,8006955,7428533.037,Urban,Solar,6653106.52,72.5,354,Very Poor,Biodegradable,Composting,13.65205982,
Mizoram,Lunglei,9101771,5461844.952,Suburban,Wind,350162508.8,69.7,362,Poor,Biodegradable,Composting,46.55935734,
Sikkim,Namchi,1490222,1410645.464,Suburban,Thermal,79658697.68,46.5,390,Good,Non-Biodegradable,Composting,32.78678693,
Puducherry,Puducherry,9287597,7907125.204,Urban,Mixed,65732066.04,91.3,375,Satisfactory,Biodegradable,Recycling,57.91194516,
Meghalaya,Tura,2049580,1491041.589,Rural,Solar,80451727.23,51.6,53,Moderate,E-Waste,Composting,55.73313892,
Haryana,Gurugram,6173487,4641073.028,Rural,Solar,469895053.6,71.9,373,Good,E-Waste,Composting,12.07917419,
Mizoram,Lunglei,1091118,906566.5975,Urban,Hydro,318118278.9,72.9,203,Severe,Mixed,Recycling,57.13547233,
Mizoram,Lunglei,5638935,4962717.985,Suburban,Mixed,19725024.35,91.3,385,Poor,Non-Biodegradable,Landfill,48.3421611,
Uttar Pradesh,Kanpur,5775205,4144990.685,Rural,Wind,407283604.3,68.6,167,Poor,E-Waste,Landfill,58.8228275,
Madhya Pradesh,Indore,4442278,2868127.265,Suburban,Mixed,399072418.1,43.1,215,Very Poor,E-Waste,Composting,21.63526134,
Mizoram,Aizawl,3030476,2231852.663,Suburban,Wind,370876867.5,88.1,132,Very Poor,Mixed,Recycling,65.41657727,
Mizoram,Lunglei,2116888,2001670.142,Urban,Thermal,353521664,57.3,160,Satisfactory,Non-Biodegradable,Composting,18.55671442,
Maharashtra,Nashik,9144896,5960592.737,Rural,Solar,117579387.8,94.7,323,Satisfactory,Biodegradable,Landfill,56.47485315,
Goa,North Goa,634931,559738.7002,Suburban,Thermal,25745622.8,84.2,294,Severe,E-Waste,Composting,13.25212613,
Puducherry,Puducherry,5196127,4371913.787,Urban,Solar,269048842.7,44.1,262,Satisfactory,E-Waste,Recycling,20.92472716,
Maharashtra,Nashik,7374749,5477934.517,Suburban,Hydro,486192060.5,52.3,250,Moderate,E-Waste,Composting,72.46506389,
Haryana,Panipat,2973282,2167433.526,Rural,Solar,366514379.4,55.3,65,Good,Mixed,Landfill,11.42574079,
Manipur,Imphal,9030654,6050184.52,Rural,Hydro,309124192.7,48.9,129,Satisfactory,E-Waste,Landfill,29.62089697,
Uttarakhand,Dehradun,5846116,5273421.007,Urban,Mixed,93569431.55,93.5,207,Very Poor,E-Waste,Landfill,35.52908526,
Madhya Pradesh,Bhopal,4239688,3618004.274,Urban,Thermal,312733234.5,55.2,302,Moderate,E-Waste,Recycling,30.11885495,
Delhi,New Delhi,6535694,5157462.235,Suburban,Mixed,37078827.53,94.2,289,Poor,Biodegradable,Landfill,67.96721081,
Puducherry,Puducherry,3516869,2322477.509,Rural,Hydro,268539490.5,56.4,264,Severe,E-Waste,Landfill,50.2698257,
Goa,South Goa,904826,659275.0204,Rural,Thermal,236594026.7,54.6,321,Good,Mixed,Recycling,63.77179918,
Chhattisgarh,Durg,8753876,5449784.755,Rural,Thermal,430787675.7,84.8,313,Satisfactory,E-Waste,Recycling,13.48275302,
Sikkim,Namchi,6293237,4054505.469,Rural,Mixed,458290575,46.5,291,Very Poor,Biodegradable,Recycling,66.7553704,
Tamil Nadu,Madurai,2037606,1299279.442,Suburban,Solar,242529881.6,57.8,346,Moderate,E-Waste,Landfill,72.59825394,
Tripura,Udaipur,2480963,2194294.296,Suburban,Wind,288119396.9,67.6,181,Poor,Mixed,Landfill,44.6879758,
Lakshadweep,Kavaratti,2513191,2145752.392,Urban,Solar,220371368.7,62.6,228,Severe,Non-Biodegradable,Landfill,16.5068505,
Uttar Pradesh,Kanpur,5262483,4394539.616,Urban,Wind,245551814.5,46.8,226,Very Poor,Biodegradable,Composting,48.90036675,
Chhattisgarh,Durg,4316012,2640224.477,Rural,Solar,479428190.4,78.3,318,Severe,Biodegradable,Landfill,85.58074329,
Uttar Pradesh,Kanpur,7474157,6137651.131,Suburban,Thermal,198407201.5,61.7,137,Very Poor,Non-Biodegradable,Incineration,74.8878532,
Punjab,Patiala,6714360,4767732.895,Suburban,Thermal,448421024.5,55.1,50,Satisfactory,E-Waste,Landfill,68.03132094,
Goa,North Goa,6105118,5140243.74,Rural,Hydro,7650286.81,62.6,324,Satisfactory,Mixed,Recycling,33.67382323,
Goa,South Goa,7668050,5209106.524,Suburban,Solar,329539153.4,46.1,281,Good,Mixed,Landfill,47.16351274,
Nagaland,Dimapur,9808153,8954397.673,Rural,Mixed,202918727.6,80.5,157,Good,Non-Biodegradable,Recycling,80.82427206,
Bihar,Muzaffarpur,6928604,4456644.713,Urban,Thermal,96055729.83,64.2,282,Poor,Biodegradable,Incineration,28.91795298,
Mizoram,Aizawl,8244229,6336759.726,Urban,Wind,100837361.7,45.9,362,Moderate,E-Waste,Composting,50.78453628,
Maharashtra,Nashik,8041742,5842354.572,Suburban,Wind,275674937.3,84.8,313,Satisfactory,Non-Biodegradable,Recycling,41.0424611,
Maharashtra,Nashik,7076985,4591201.113,Suburban,Wind,234482158.8,43.9,385,Poor,Mixed,Landfill,50.57221783,
Madhya Pradesh,Indore,4771346,4491239.095,Urban,Solar,143669042.1,46.2,316,Very Poor,E-Waste,Landfill,68.35817402,
Gujarat,Vadodara,2001634,1228759.885,Rural,Solar,81976955.25,80,173,Very Poor,Biodegradable,Landfill,26.4557499,
Manipur,Churachandpur,8622488,7171592.708,Rural,Wind,184352162.5,94.2,94,Severe,Biodegradable,Landfill,68.48238452,
Odisha,Cuttack,6577357,5493363.079,Urban,Mixed,478305685.1,61.1,161,Moderate,Biodegradable,Composting,44.93416119,
Puducherry,Puducherry,200361,157143.839,Urban,Thermal,341977240.3,66.4,141,Good,Mixed,Recycling,61.77087529,
Mizoram,Aizawl,9175670,7020094.77,Suburban,Thermal,274350857.9,82.1,121,Severe,Mixed,Landfill,62.53465696,
Puducherry,Puducherry,8767849,6760054.085,Rural,Thermal,421038679.6,51.9,275,Severe,Mixed,Composting,48.07145055,
Odisha,Bhubaneswar,85968,65910.22278,Rural,Hydro,464741867,77.6,73,Moderate,Mixed,Incineration,47.89552672,
Punjab,Amritsar,1064237,657875.7839,Suburban,Thermal,367435325.8,78.9,295,Very Poor,Non-Biodegradable,Recycling,82.65956921,
Dadra and Nagar Haveli and Daman and Diu,Diu,361236,280805.6328,Suburban,Solar,492771007,77.5,352,Poor,Mixed,Recycling,73.91947525,
Puducherry,Puducherry,1114823,768003.2236,Suburban,Hydro,242073614.7,53.8,248,Severe,E-Waste,Landfill,59.50203295,
Jammu and Kashmir,Jammu,1478909,1243480.21,Suburban,Thermal,216785531.2,53,150,Very Poor,Non-Biodegradable,Landfill,27.64997912,
Telangana,Hyderabad,945556,656231.1464,Suburban,Thermal,15467644.17,50.2,209,Satisfactory,Non-Biodegradable,Incineration,25.16673363,
Mizoram,Aizawl,3034452,2190571.974,Rural,Mixed,399149834.2,60.1,73,Poor,E-Waste,Recycling,42.06423074,
Gujarat,Rajkot,3605602,3369346.556,Rural,Wind,490298740,40.5,326,Poor,Mixed,Recycling,43.9084759,
Andhra Pradesh,Visakhapatnam,5416984,3890424.884,Rural,Mixed,115958878,87.7,66,Satisfactory,Biodegradable,Composting,87.8426924,
Puducherry,Puducherry,387999,292704.4856,Urban,Thermal,366184151.1,86.6,67,Poor,Mixed,Landfill,83.76887757,
Jammu and Kashmir,Srinagar,3269358,2039549.536,Rural,Thermal,484248901.7,59.3,357,Satisfactory,E-Waste,Recycling,10.10723253,
Dadra and Nagar Haveli and Daman and Diu,Daman,1815939,1399671.316,Urban,Mixed,409958818.4,90.3,117,Good,Mixed,Landfill,13.10487893,
Madhya Pradesh,Bhopal,5314723,4107689.128,Urban,Solar,90127925.6,74.1,173,Severe,Biodegradable,Landfill,11.95993691,
Goa,North Goa,5259888,4090906.116,Rural,Hydro,338400903.5,64.1,146,Very Poor,Biodegradable,Recycling,34.0461639,
Maharashtra,Nagpur,6774644,5483218.23,Rural,Hydro,444666128.2,92.8,204,Severe,E-Waste,Incineration,75.76648833,
Manipur,Imphal,7889358,6724284.508,Urban,Hydro,293559684.4,84.1,288,Poor,Non-Biodegradable,Incineration,63.03815354,
Bihar,Gaya,4170604,3845495.577,Rural,Wind,466552953.5,84.1,86,Severe,Biodegradable,Incineration,58.19030193,
Meghalaya,Shillong,9319424,6413652.491,Suburban,Mixed,489419363.9,62,165,Very Poor,Mixed,Recycling,39.8634508,
West Bengal,Darjeeling,74442,50595.6123,Urban,Mixed,306887789.1,79.7,299,Very Poor,Non-Biodegradable,Recycling,40.62052693,
Meghalaya,Shillong,4320219,3856043.92,Suburban,Wind,392677736,87.9,324,Severe,Non-Biodegradable,Incineration,73.29610785,
Bihar,Gaya,1076265,721228.223,Urban,Thermal,453261496.2,63.6,179,Moderate,Mixed,Incineration,35.51246621,
Uttar Pradesh,Lucknow,1975616,1467008.621,Urban,Mixed,232512513.3,55.4,360,Severe,Mixed,Composting,44.05753181,
